2 1 38.50 66 28 3 3 0 2 5 4 4 0 0 0 3 5 45.00 8.40 0 0 2 2 11300 00000 00000 2
1 1 39.2 88 20 0 0 4 1 3 4 2 0 0 0 4 2 50 85 2 2 3 2 02208 00000 00000 2
2 1 38.30 40 24 1 1 3 1 3 3 1 0 0 0 1 1 33.00 6.70 0 0 1 2 00000 00000 00000 1
1 9  39.10 164 84 4 1 6 2 2 4 4 1 2 5.00 3 0 48.00 7.20 3 5.30 2 1 02208 00000 00000 1
2 1 37.30 104 35 0 0 6 2 0 0 0 0 0 0 0 0 74.00 7.40 0 0 2 2 04300 00000 00000 2
2 1 0 0 0 2 1 3 1 2 3 2 2 1 0 3 3 0 0 0 0 1 2 00000 00000 00000 2
1 1 37.90 48 16 1 1 1 1 3 3 3 1 1 0 3 5 37.00 7.00 0 0 1 1 03124 00000 00000 2
1 1 0 60 0 3 0 0 1 0 4 2 2 1 0 3 4 44.00 8.30 0 0 2 1 02208 00000 00000 2
2 1 0 80 36 3 4 3 1 4 4 4 2 1 0 3 5 38.00 6.20 0 0 3 1 03205 00000 00000 2
2 9  38.30 90 0 1 0 1 1 5 3 1 2 1 0 3 0 40.00 6.20 1 2.20 1 2 00000 00000 00000 1
1 1 38.10 66 12 3 3 5 1 3 3 1 2 1 3.00 2 5 44.00 6.00 2 3.60 1 1 02124 00000 00000 1
2 1 39.10 72 52 2 0 2 1 2 1 2 1 1 0 4 4 50.00 7.80 0 0 1 1 02111 00000 00000 2
1 1 37.20 42 12 2 1 1 1 3 3 3 3 1 0 4 5 0 7.00 0 0 1 2 04124 00000 00000 2
2 9  38.00 92 28 1 1 2 1 1 3 2 3 0 7.20 1 1 37.00 6.10 1 0 2 2 00000 00000 00000 1
1 1 38.2 76 28 3 1 1 1 3 4 1 2 2 0 4 4 46 81 1 2 1 1 02112 00000 00000 2
1 1 37.60 96 48 3 1 4 1 5 3 3 2 3 4.50 4 0 45.00 6.80 0 0 2 1 03207 00000 00000 2
1 9  0 128 36 3 3 4 2 4 4 3 3 0 0 4 5 53.00 7.80 3 4.70 2 2 01400 00000 00000 1
2 1 37.50 48 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 00000 00000 00000 2
1 1  37.60 64 21 1 1 2 1 2 3 1 1 1 0 2 5 40.00 7.00 1 0 1 1 04205 00000 00000 1
2 1 39.4 110 35 4 3 6 0 0 3 3 0 0 0 0 0 55 8.7 0 0 1 2 00000 00000 00000 2
1 1 39.90 72 60 1 1 5 2 5 4 4 3 1 0 4 4 46.00 6.10 2 0 1 1 02111 00000 00000 2
2 1 38.40 48 16 1 0 1 1 1 3 1 2 3 5.50 4 3 49.00 6.80 0 0 1 2 00000 00000 00000 2
1 1 38.60 42 34 2 1 4 0 2 3 1 0 0 0 1 0 48.00 7.20 0 0 1 1 03111 00000 00000 2
1 9 38.3 130 60 0 3 0 1 2 4 0 0 0 0 0 0 50 70 0 0 1 1 03111 00000 00000 2
1 1 38.1 60 12 3 3 3 1 0 4 3 3 2 2 0 0 51 65 0 0 1 1 03111 00000 00000 2
2 1 37.80 60 42 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 00000 00000 00000 2
1 1 38.30 72 30 4 3 3 2 3 3 3 2 1 0 3 5 43.00 7.00 2 3.90 1 1 03111 00000 00000 1
1 1 37.80 48 12 3 1 1 1 0 3 2 1 1 0 1 3 37.00 5.50 2 1.30 1 2 04122 00000 00000 1
1 1  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 04300 00000 00000 2
2 1 37.7 48 0 2 1 1 1 1 1 1 1 1 0 0 0 45 76 0 0 1 2 00000 00000 00000 2
2 1 37.70 96 30 3 3 4 2 5 4 4 3 2 4.00 4 5 66.00 7.50 0 0 2 1 04205 00000 00000 2
2 1 37.20 108 12 3 3 4 2 2 4 2 0 3 6.00 3 3 52.00 8.20 3 7.40 3 1 02207 00000 00000 1
1 1 37.20 60 0 2 1 1 1 3 3 3 2 1 0 4 5 43.00 6.60 0 0 1 1 02209 00000 00000 2
1 1 38.20 64 28 1 1 1 1 3 1 0 0 0 0 4 4 49.00 8.60 2 6.60 1 1 02208 00000 00000 1
1 1 0 100 30 3 3 4 2 5 4 4 3 3 0 4 4 52.00 6.60 0 0 1 1 01124 00000 00000 2
2 1 0 104 24 4 3 3 2 4 4 3 0 3 0 0 2 73.00 8.40 0 0 3 1 07111 00000 00000 2
2 1 38.30 112 16 0 3 5 2 0 0 1 1 2 0 0 5 51.00 6.00 2 1.00 3 2 05205 00000 00000 1
1 1 37.8 72 0 0 3 0 1 5 3 1 0 1 0 1 1 56 80 1 2 1 1 03111 00000 00000 2
2 1 38.60 52 0 1 1 1 1 3 3 2 1 1 0 1 3 32.00 6.60 1 5.00 1 2 00000 00000 00000 1
1 9  39.20 146 96 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 02113 00000 00000 2
1 1 0 88 0 3 3 6 2 5 3 3 1 3 0 4 5 63.00 6.50 3 0 2 1 04205 00000 00000 2
2 9  39.00 150 72 0 0 0 0 0 0 0 0 0 0 0 0 47.00 8.50 0 0.10 1 1 09400 00000 00000 1
2 1 38.00 60 12 3 1 3 1 3 3 1 1 1 0 2 2 47.00 7.00 0 0 1 2 03111 00000 00000 2
1 1 0 120 0 3 4 4 1 4 4 4 1 1 0 0 5 52 67 2 2 3 1 03205 00000 00000 2
1 1 35.4 140 24 3 3 4 2 4 4 0 2 1 0 0 5 57 69 3 2 3 1 03205 00000 00000 2
2 1 0 120 0 4 3 4 2 5 4 4 1 1 0 4 5 60.00 6.50 3 0 2 1 03205 00000 00000 2
1 1 37.90 60 15 3 0 4 2 5 4 4 2 2 0 4 5 65.00 7.50 0 0 1 1 02305 00000 00000 1
2 1 37.50 48 16 1 1 1 1 1 1 1 1 1 0 1 0 37.00 6.50 0 0 1 2 00000 00000 00000 2
1 1 38.90 80 44 3 3 3 2 2 3 3 2 2 7.00 3 1 54.00 6.50 3 0 2 1 07111 00000 00000 2
2 1 37.20 84 48 3 3 5 2 4 1 2 1 2 0 2 1 73.00 5.50 2 4.10 2 2 04300 00000 00000 1
2 1 38.60 46 0 1 1 2 1 1 3 2 1 1 0 0 2 49.00 9.10 1 1.60 1 2 03111 00000 00000 1
1 1 37.40 84 36 1 0 3 2 3 3 2 0 0 0 4 5 0 0 3 0 2 1 07209 00000 00000 1
2 1 0 0 0 1 1 3 1 1 3 1 0 0 0 2 2 43.00 7.70 0 0 1 2 03111 00000 00000 2
2 1 38.60 40 20 0 0 0 1 0 0 0 0 0 0 0 0 41.00 6.40 0 0 1 2 03111 00000 00000 1
2 1 40.30 114 36 3 3 1 2 2 3 3 2 1 7.00 1 5 57.00 8.10 3 4.50 3 1 07400 00000 00000 1
1 9  38.60 160 20 3 0 5 1 3 3 4 3 0 0 4 0 38.00 0 2 0 2 1 07111 00000 00000 1
1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24.00 6.70 0 0 1 1 03112 00000 00000 2
1 1 0 64 36 2 0 2 1 5 3 3 2 2 0 0 0 42.00 7.70 0 0 2 1 03209 00000 00000 2
1 1 0 0 20 4 3 3 0 5 4 3 2 0 0 4 4 53.00 5.90 3 0 2 1 03205 00000 00000 1
2 1 0 96 0 3 3 3 2 5 4 4 1 2 0 4 5 60.00 0 0 0 2 1 04205 00000 00000 2
2 1 37.80 48 32 1 1 3 1 2 1 0 1 1 0 4 5 37.00 6.70 0 0 1 2 02124 00000 00000 2
